상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행,encoded,brand_type,리뷰수,방문자_리뷰수,블로그_리뷰수,log_리뷰수,log_방문자_리뷰수,log_블로그_리뷰수
MA010120220805445054,금별맥주,금별맥주,풍무점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41570,김포시,41570550,풍무동,4157010700,풍무동,4157010700109500000,950.0,,경기도 김포시 풍무동 950,415704854932,경기도 김포시 양도로19번길,경기도 김포시 양도로19번길 5,,126.724187716701,37.607012473026,1020139895,50.0,101.0,김포시 양도로19번길 금별맥주,자사,258,309,25.0,5.556828061699537,5.736572297479192,3.258096538021482
MA010120220813242953,금별맥주,금별맥주,역곡점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41192,부천시 원미구,41192580,역곡2동,4119210700,역곡동,4119210700100800003,80.0,3.0,경기도 부천시 원미구 역곡동 80-3,411923000019,경기도 부천시 원미구 부일로,경기도 부천시 원미구 부일로 732,1,126.811029817602,37.4855487803274,1314343135,20.0,9.0,원미구 부일로 금별맥주,자사,357,467,66.0,5.8805329864007,6.148468295917647,4.204692619390966
MA010120220803217189,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41192,부천시 원미구,41192520,심곡2동,4119210200,심곡동,4119210200101920018,192.0,18.0,경기도 부천시 원미구 심곡동 192-18,411924352080,경기도 부천시 원미구 부일로459번길,경기도 부천시 원미구 부일로459번길 40,1,126.781863372819,37.4877150063439,1144831833,20.0,212.0,원미구 부일로459번길 금별맥주,자사,275,335,307.0,5.62040086571715,5.817111159963204,5.730099782973574
MA0101202302A0057053,금별맥주,금별맥주용인,동백점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41463,용인시 기흥구,41463575,동백2동,4146311600,중동,4146311600108300001,830.0,1.0,경기도 용인시 기흥구 중동 830-1,414633204023,경기도 용인시 기흥구 동백5로,경기도 용인시 기흥구 동백5로 21-8,,127.152862256676,37.2770681577639,1548169996,30.0,44.010000000000005,기흥구 동백5로 금별맥주,자사,115,122,38.0,4.7535901911063645,4.812184355372417,3.6635616461296463
MA010120220805955453,금별맥주,금별맥주수원고색역점,수원고색역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41113,수원시 권선구,41113550,평동,4111312800,고색동,4111312800104050001,405.0,1.0,경기도 수원시 권선구 고색동 405-1,411133012005,경기도 수원시 권선구 서부로,경기도 수원시 권선구 서부로 1564,1,126.977119203092,37.2489079543065,1769471357,40.0,70.0,권선구 서부로 금별맥주,자사,101,163,27.0,4.624972813284271,5.099866427824199,3.332204510175204
MA010120220808415184,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41370,오산시,41370523,대원1동,4137010300,원동,4137010300108120006,812.0,6.0,경기도 오산시 원동 812-6,413703198034,경기도 오산시 운암로,경기도 오산시 운암로 13-22,,127.075067434801,37.1469233213287,1904029520,20.0,58.0,오산시 운암로 금별맥주,자사,179,246,54.0,5.19295685089021,5.5093883366279774,4.007333185232471
MA0101202209A0010612,금별맥주,금별맥주모란점,모란점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41133,성남시 중원구,41133510,성남동,4113310100,성남동,4113310100134430000,3443.0,,경기도 성남시 중원구 성남동 3443,411334337420,경기도 성남시 중원구 제일로35번길,경기도 성남시 중원구 제일로35번길 55,1,127.131291927706,37.4324492395561,1976292314,20.0,52.0,중원구 제일로35번길 금별맥주,자사,266,317,61.0,5.58724865840025,5.762051382780177,4.127134385045092
MA010120220813083656,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41196,부천시 오정구,41196530,원종2동,4119610400,원종동,4119610400102270013,227.0,13.0,경기도 부천시 오정구 원종동 227-13,411964358356,경기도 부천시 오정구 원종로36번길,경기도 부천시 오정구 원종로36번길 9,1,126.804123319174,37.5237671333246,1284647505,50.0,79.0,오정구 원종로36번길 금별맥주,자사,80,124,12.0,4.394449154672439,4.8283137373023015,2.5649493574615367
MA0101202209A0100150,금별맥주,금별맥주,목동로데오점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100108870008,887.0,8.0,서울특별시 양천구 신정동 887-8,114703114011,서울특별시 양천구 신정중앙로,서울특별시 양천구 신정중앙로 95,1,126.8626309,37.5265624,1875835175,20.0,65.0,양천구 신정중앙로 금별맥주,자사,189,209,28.0,5.247024072160486,5.3471075307174685,3.367295829986474
MA0101202409A0199061,금별맥주,금별맥주신정네거리역점,신정네거리역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470640,신정3동,1147010100,신정동,1147010100113260000,1326.0,,서울특별시 양천구 신정동 1326,114704142380,서울특별시 양천구 중앙로43길,서울특별시 양천구 중앙로43길 14,,126.851337167736,37.5204212018935,1265782586,20.0,65.0,양천구 중앙로43길 금별맥주,자사,205,285,66.0,5.327876168789581,5.655991810819852,4.204692619390966
MA0101202306A0060098,금별맥주,금별맥주,사당역점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650610,방배2동,1165010100,방배동,1165010100104440016,444.0,16.0,서울특별시 서초구 방배동 444-16,116502005009,서울특별시 서초구 동작대로,서울특별시 서초구 동작대로 18,1,126.982091832167,37.4781030407453,1195530733,20.0,94.0,서초구 동작대로 금별맥주,자사,250,305,133.0,5.5254529391317835,5.723585101952381,4.897839799950911
MA0101202309A0040871,금별맥주,금별맥주,교대역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115740004,1574.0,4.0,서울특별시 서초구 서초동 1574-4,116504163414,서울특별시 서초구 서초대로50길,서울특별시 서초구 서초대로 50길 19,,127.0130463,37.4923947,1494938619,20.0,79.0,서초구 서초대로50길 금별맥주,자사,329,421,97.0,5.799092654460526,6.045005314036012,4.584967478670572
MA010120220809684207,금별맥주,금별맥주,발산역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107970009,797.0,9.0,서울특별시 강서구 마곡동 797-9,115003155054,서울특별시 강서구 마곡중앙6로,서울특별시 강서구 마곡중앙6로 70,1,126.8348083,37.5597121,1215140348,20.0,207.0,강서구 마곡중앙6로 금별맥주,자사,593,765,431.0,6.386879319362645,6.641182169740591,6.068425588244111
MA010120220813360855,금별맥주,금별맥주마곡역점,마곡역점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11500,강서구,11500611,발산1동,1150010500,마곡동,1150010500107990002,799.0,2.0,서울특별시 강서구 마곡동 799-2,115002005007,서울특별시 강서구 공항대로,서울특별시 강서구 공항대로 190,1,126.828636069523,37.5590342941861,1249032365,20.0,207.0,강서구 공항대로 금별맥주,자사,206,289,342.0,5.332718793265369,5.66988092298052,5.8377304471659395
MA0101202406A0575578,금별맥주,금별맥주,광명역점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,41,경기도,41210,광명시,41210655,일직동,4121010600,일직동,4121010600105120003,512.0,3.0,경기도 광명시 일직동 512-3,412103187066,경기도 광명시 양지로,경기도 광명시 양지로 19,,126.882615259251,37.4190116846553,1418180719,90.0,522.99,광명시 양지로 금별맥주,자사,1100,1009,667.0,7.00397413672268,6.917705609835305,6.504288173536645
MA0101202308A0087702,금별맥주,금별맥주한대앞역점,한대앞역점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,41,경기도,41271,안산시 상록구,41271515,이동,4127110200,이동,4127110200107150002,715.0,2.0,경기도 안산시 상록구 이동 715-2,412713190010,경기도 안산시 상록구 광덕1로,경기도 안산시 상록구 광덕1로 379,,126.85124750668,37.308654738481,1473371787,20.0,160.0,상록구 광덕1로 금별맥주,자사,245,254,64.0,5.5053315359323625,5.541263545158426,4.174387269895637
MA0101202306A0033644,금별맥주,금별맥주,미금점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,41,경기도,41135,성남시 분당구,41135665,구미1동,4113511400,구미동,4113511400100410002,41.0,2.0,경기도 성남시 분당구 구미동 41-2,411354340135,경기도 성남시 분당구 미금일로86번길,경기도 성남시 분당구 미금일로86번길 20,1,127.110479563949,37.3478014419507,1175386565,20.0,19.0,분당구 미금일로86번길 금별맥주,자사,268,263,40.0,5.594711379601839,5.575949103146316,3.713572066704308
MA010120220808007750,역전할머니,역전할머니맥주강서,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300111200013,1120.0,13.0,서울특별시 강서구 화곡동 1120-13,115004145541,서울특별시 강서구 화곡로58길,서울특별시 강서구 화곡로58길 22-3,1.0,126.85217839994,37.5527140888822,1868359886,20.0,231.0,강서구 화곡로58길 역전할머니,경쟁사,283,0,60.0,5.648974238161206,0.0,4.110873864173311
MA010120220801940737,역전할머니,역전할머니맥주서울,명지대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11410,서대문구,11410685,홍은2동,1141011800,홍은동,1141011800104090051,409.0,51.0,서울특별시 서대문구 홍은동 409-51,114104136324,서울특별시 서대문구 증가로10길,서울특별시 서대문구 증가로10길 63,1.0,126.925270059374,37.5796867059389,1323812622,20.0,70.0,서대문구 증가로10길 역전할머니,경쟁사,182,0,36.0,5.209486152841421,0.0,3.6109179126442243
MA010120220806381564,역전할머니,역전할머니맥주,서울신풍역점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11560,영등포구,11560670,신길5동,1156013200,신길동,1156013200104450002,445.0,2.0,서울특별시 영등포구 신길동 445-2,115603118014,서울특별시 영등포구 신길로,서울특별시 영등포구 신길로 67,1.0,126.908127515183,37.498764824654,1311695977,20.0,207.0,영등포구 신길로 역전할머니,경쟁사,10,0,35.0,2.3978952727983707,0.0,3.58351893845611
MA010120220808643509,역전할머니,역전할머니맥주,서울상봉점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11260,중랑구,11260590,상봉2동,1126010200,상봉동,1126010200101050011,105.0,11.0,서울특별시 중랑구 상봉동 105-11,112604118287,서울특별시 중랑구 봉우재로33길,서울특별시 중랑구 봉우재로33길 42,1.0,127.088287041705,37.5942373846102,1650551571,20.0,142.0,중랑구 봉우재로33길 역전할머니,경쟁사,431,0,69.0,6.068425588244111,0.0,4.248495242049359
MA010120220810536466,역전할머니,역전할머니맥주,오류점,I2,음식,I211,주점,I21103,생맥주 전문,I56211,일반 유흥 주점업,11,서울특별시,11530,구로구,11530770,오류1동,1153010800,오류동,1153010800100340004,34.0,4.0,서울특별시 구로구 오류동 34-4,115304148080,서울특별시 구로구 경인로25길,서울특별시 구로구 경인로25길 16,1.0,126.844202347868,37.4971751150817,1404198758,20.0,457.0,구로구 경인로25길 역전할머니,경쟁사,1,0,187.0,0.6931471805599453,0.0,5.236441962829949
MA010120220800531287,역전할머니,역전할머니맥주,서울방배역점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100109090004,909.0,4.0,서울특별시 서초구 방배동 909-4,116503121010,서울특별시 서초구 방배로,서울특별시 서초구 방배로 83-9,1.0,126.996653348122,37.4820507706275,1054587722,20.0,229.0,서초구 방배로 역전할머니,경쟁사,10,211,43.0,2.3978952727983707,5.356586274672012,3.784189633918261
MA010120220806451265,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100600046,60.0,46.0,서울특별시 동대문구 회기동 60-46,112304115019,서울특별시 동대문구 경희대로1길,서울특별시 동대문구 경희대로1길 7,1.0,127.05169994721,37.5916101652418,1573115649,20.0,109.0,동대문구 경희대로1길 역전할머니,경쟁사,215,245,96.0,5.375278407684165,5.5053315359323625,4.574710978503383
MA010120220805522576,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290760,장위1동,1129013800,장위동,1129013800102180032,218.0,32.0,서울특별시 성북구 장위동 218-32,112903107018,서울특별시 성북구 월계로,서울특별시 성북구 월계로 172,1.0,127.044888913925,37.6192733426894,1407805860,20.0,99.0,성북구 월계로 역전할머니,경쟁사,10,300,33.0,2.3978952727983707,5.707110264748875,3.5263605246161616
MA010120220803876018,역전할머니,역전할머니맥주,화곡역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500560,화곡3동,1150010300,화곡동,1150010300110680023,1068.0,23.0,서울특별시 강서구 화곡동 1068-23,115003005069,서울특별시 강서구 화곡로,서울특별시 강서구 화곡로 119,1.0,126.835105589725,37.5404379073919,1420076532,20.0,231.0,강서구 화곡로 역전할머니,경쟁사,323,425,52.0,5.780743515792329,6.054439346269371,3.970291913552122
MA010120220813808545,역전할머니,역전할머니맥주신대방,삼거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800104070029,407.0,29.0,서울특별시 동작구 대방동 407-29,115904157551,서울특별시 동작구 여의대방로24길,서울특별시 동작구 여의대방로24길 141,,126.927951399829,37.4991750210014,1337289813,20.0,148.0,동작구 여의대방로24길 역전할머니,경쟁사,348,428,32.0,5.855071922202427,6.061456918928017,3.4965075614664802
MA010120220813052248,역전할머니,역전할머니맥주,서울동덕여대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290725,월곡2동,1129013700,상월곡동,1129013700100690002,69.0,2.0,서울특별시 성북구 상월곡동 69-2,112904121514,서울특별시 성북구 장월로1길,서울특별시 성북구 장월로1길 74,1.0,127.044371072119,37.6055965277208,1059948798,20.0,18.0,성북구 장월로1길 역전할머니,경쟁사,147,198,33.0,4.997212273764115,5.293304824724492,3.5263605246161616
MA010120220803238674,역전할머니,역전할머니맥주,성수점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1120011500103000005,300.0,5.0,서울특별시 성동구 성수동2가 300-5,112003000002,서울특별시 성동구 아차산로,서울특별시 성동구 아차산로 97,1.0,127.055096561469,37.5451983475763,1199375408,20.0,167.0,성동구 아차산로 역전할머니,경쟁사,231,321,61.0,5.44673737166631,5.7745515455444085,4.127134385045092
MA010120220803986583,역전할머니,역전할머니맥주영등포,구청점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11560,영등포구,11560550,당산1동,1156011300,당산동3가,1156011300102340002,234.0,2.0,서울특별시 영등포구 당산동3가 234-2,115604154072,서울특별시 영등포구 국회대로34길,서울특별시 영등포구 국회대로34길 20,,126.897143451366,37.5258579679888,1679915153,20.0,108.0,영등포구 국회대로34길 역전할머니,경쟁사,205,274,21.0,5.327876168789581,5.616771097666572,3.091042453358316
MA010120220804905516,역전할머니,역전할머니,홍대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000104050013,405.0,13.0,서울특별시 마포구 서교동 405-13,114403113015,서울특별시 마포구 어울마당로,서울특별시 마포구 어울마당로 55-4,1.0,126.920738806367,37.5503293020802,1125792665,20.0,255.0,마포구 어울마당로 역전할머니,경쟁사,710,855,97.0,6.566672429803241,6.752270376141742,4.584967478670572
MA010120220801939884,역전할머니,역전할머니맥주신림녹두점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11620,관악구,11620735,대학동,1162010200,신림동,1162010200115180018,1518.0,18.0,서울특별시 관악구 신림동 1518-18,116204160767,서울특별시 관악구 호암로24길,서울특별시 관악구 호암로24길 65,1.0,126.936819962925,37.4694288001871,1424284773,20.0,327.0,관악구 호암로24길 역전할머니,경쟁사,120,161,23.0,4.795790545596741,5.087596335232384,3.1780538303479458
MA010120220803387236,역전할머니,역전할머니맥주가락시장역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11710,송파구,11710620,가락본동,1171010700,가락동,1171010700100750014,75.0,14.0,서울특별시 송파구 가락동 75-14,117104169368,서울특별시 송파구 양재대로62길,서울특별시 송파구 양재대로62길 39,1.0,127.120321812597,37.4965588396401,1093149808,20.0,206.0,송파구 양재대로62길 역전할머니,경쟁사,222,293,92.0,5.407171771460119,5.683579767338681,4.532599493153256
MA010120220806683339,역전할머니,역전할머니맥주사가정점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11260,중랑구,11260575,면목3.8동,1126010100,면목동,1126010100105950051,595.0,51.0,서울특별시 중랑구 면목동 595-51,112604118369,서울특별시 중랑구 사가정로51길,서울특별시 중랑구 사가정로51길 39,1.0,127.087741196445,37.5826059807016,1383332046,20.0,128.0,중랑구 사가정로51길 역전할머니,경쟁사,277,356,45.0,5.627621113690637,5.877735781779639,3.828641396489095
MA010120220810089228,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100430004,43.0,4.0,서울특별시 은평구 역촌동 43-4,113803100020,서울특별시 은평구 진흥로,서울특별시 은평구 진흥로 27,,126.918443425338,37.6005041145242,1014475021,20.0,211.0,은평구 진흥로 역전할머니,경쟁사,339,407,40.0,5.8289456176102075,6.0112671744041615,3.713572066704308
MA010120220805486530,역전할머니,라쿤컴퍼니역전할머니맥주,사당점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11620,관악구,11620630,남현동,1162010300,남현동,1162010300106020017,602.0,17.0,서울특별시 관악구 남현동 602-17,116204160478,서울특별시 관악구 승방4길,서울특별시 관악구 승방4길 20,,126.980837796416,37.4746069262817,1215644969,20.0,62.0,관악구 승방4길 역전할머니,경쟁사,162,161,162.0,5.093750200806762,5.087596335232384,5.093750200806762
MA010120220807372769,역전할머니,역전할머니맥주,구로디지털단지점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200111240047,1124.0,47.0,서울특별시 구로구 구로동 1124-47,115304148338,서울특별시 구로구 디지털로32나길,서울특별시 구로구 디지털로32나길 29,1.0,126.900614781201,37.4844958015168,1615941540,20.0,160.0,구로구 디지털로32나길 역전할머니,경쟁사,608,724,136.0,6.411818267709897,6.586171654854675,4.919980925828125
MA010120220812907473,역전할머니,역전할머니맥주성신여대,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290575,동선동,1129011600,동선동1가,1129011600100610000,61.0,,서울특별시 성북구 동선동1가 61,112904121093,서울특별시 성북구 동소문로20길,서울특별시 성북구 동소문로20길 37-24,1.0,127.018014468743,37.5911065475937,1071087271,20.0,75.0,성북구 동소문로20길 역전할머니,경쟁사,300,409,86.0,5.707110264748875,6.016157159698354,4.465908118654584
MA010120220808010827,역전할머니,역전할머니맥주,까치산점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500540,화곡1동,1150010300,화곡동,1150010300109030003,903.0,3.0,서울특별시 강서구 화곡동 903-3,115003115001,서울특별시 강서구 강서로,서울특별시 강서구 강서로 17,1.0,126.847721656194,37.529417600635,1617580186,20.0,231.0,강서구 강서로 역전할머니,경쟁사,10,409,42.0,2.3978952727983707,6.016157159698354,3.7612001156935624
MA0101202503A0072078,역전할머니,역전할머니맥주서울,대학로점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1111017200100150001,15.0,1.0,서울특별시 종로구 명륜4가 15-1,111104100031,서울특별시 종로구 대명1길,서울특별시 종로구 대명1길 10,2.0,127.000792506521,37.5831071035527,1105573661,20.0,69.0,종로구 대명1길 역전할머니,경쟁사,789,875,104.0,6.672032945461067,6.775366090936392,4.653960350157523
MA0101202503A0037829,역전할머니,역전할머니맥주가산디지털단지역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100103710028,371.0,28.0,서울특별시 금천구 가산동 371-28,115453117001,서울특별시 금천구 가산디지털1로,서울특별시 금천구 가산디지털1로 168,2.0,126.882644342333,37.479965266654,1893135961,20.0,191.0,금천구 가산디지털1로 역전할머니,경쟁사,10,25,15.0,2.3978952727983707,3.258096538021482,2.772588722239781
MA0101202505A0075014,역전할머니,역전할머니맥주,공릉점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11350,노원구,11350600,공릉2동,1135010300,공릉동,1135010300104410059,441.0,59.0,서울특별시 노원구 공릉동 441-59,113504130186,서울특별시 노원구 동일로192길,서울특별시 노원구 동일로192길 80,1.0,127.07725838329,37.6272213152593,1412314791,20.0,196.0,노원구 동일로192길 역전할머니,경쟁사,14,533,57.0,2.70805020110221,6.280395838960195,4.060443010546419
MA010120220812278049,역전할머니,역전할머니맥주서울,신길점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200100990012,99.0,12.0,서울특별시 영등포구 신길동 99-12,115603118022,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포로 371,1.0,126.919510160367,37.5142253625524,1126054619,20.0,207.0,영등포구 영등포로 역전할머니,경쟁사,10,252,26.0,2.3978952727983707,5.53338948872752,3.295836866004329
MA010120220812390040,역전할머니,역전할머니맥주남구로역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11530,구로구,11530550,구로4동,1153010200,구로동,1153010200107710040,771.0,40.0,서울특별시 구로구 구로동 771-40,115303116010,서울특별시 구로구 도림로,서울특별시 구로구 도림로 35,1.0,126.888195684932,37.4874670379889,1850542918,20.0,160.0,구로구 도림로 역전할머니,경쟁사,10,178,28.0,2.3978952727983707,5.187385805840755,3.367295829986474
MA0101202411A0033416,역전할머니,역전할머니맥주서울당곡역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107020011,702.0,11.0,서울특별시 관악구 봉천동 702-11,116203005078,서울특별시 관악구 보라매로,서울특별시 관악구 보라매로 11,1.0,126.927213481953,37.4904528235145,1007222625,20.0,267.0,관악구 보라매로 역전할머니,경쟁사,38,40,10.0,3.6635616461296463,3.713572066704308,2.3978952727983707
MA0101202503A0006193,역전할머니,역전할머니맥주,명일점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11740,강동구,11740530,명일1동,1174010100,명일동,1174010100103120062,312.0,62.0,서울특별시 강동구 명일동 312-62,117404172257,서울특별시 강동구 양재대로145길,서울특별시 강동구 양재대로145길 13,1.0,127.143179935738,37.5518098012982,1223431201,20.0,108.0,강동구 양재대로145길 역전할머니,경쟁사,274,278,42.0,5.616771097666572,5.631211781821365,3.7612001156935624
MA010120220803103044,역전할머니,역전할머니맥주,서울대입구역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11620,관악구,11620585,낙성대동,1162010100,봉천동,1162010100116110028,1611.0,28.0,서울특별시 관악구 봉천동 1611-28,116204160255,서울특별시 관악구 남부순환로230길,서울특별시 관악구 남부순환로230길 18,1.0,126.955319328177,37.4792762721094,1862325808,20.0,267.0,관악구 남부순환로230길 역전할머니,경쟁사,435,588,84.0,6.077642243349034,6.3784261836515865,4.442651256490317
MA010120220812213375,역전할머니,역전할머니맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470530,목3동,1147010200,목동,1147010200106100009,610.0,9.0,서울특별시 양천구 목동 610-9,114704142195,서울특별시 양천구 목동중앙북로7가길,서울특별시 양천구 목동중앙북로7가길 17,1.0,126.866433470778,37.5487486647295,1363879581,20.0,978.0,양천구 목동중앙북로7가길 역전할머니,경쟁사,312,361,46.0,5.746203190540153,5.8916442118257715,3.8501476017100584
MA0101202409A0144416,역전할머니,역전할머니맥주서울독산역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100107150000,715.0,,서울특별시 금천구 가산동 715,115453000027,서울특별시 금천구 범안로,서울특별시 금천구 범안로 1138,1.0,126.888386214841,37.4657979456725,1114717401,20.0,191.0,금천구 범안로 역전할머니,경쟁사,10,17,7.0,2.3978952727983707,2.8903717578961645,2.0794415416798357
MA0101202409A0077960,역전할머니,역전할머니맥주정릉,시장점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11290,성북구,11290640,정릉3동,1129013300,정릉동,1129013300103960041,396.0,41.0,서울특별시 성북구 정릉동 396-41,112904121140,서울특별시 성북구 보국문로11길,서울특별시 성북구 보국문로11길 23,2.0,127.008777169503,37.6085687986192,1716265321,20.0,62.0,성북구 보국문로11길 역전할머니,경쟁사,22,18,5.0,3.1354942159291497,2.9444389791664403,1.791759469228055
MA0101202411A0136059,역전할머니,역전할머니맥주숙대,입구점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11170,용산구,11170530,남영동,1117010400,갈월동,1117010400100690046,69.0,46.0,서울특별시 용산구 갈월동 69-46,111704106455,서울특별시 용산구 한강대로87길,서울특별시 용산구 한강대로87길 4,1.0,126.97175610675,37.5443789042399,1294706090,20.0,34.0,용산구 한강대로87길 역전할머니,경쟁사,10,525,77.0,2.3978952727983707,6.26530121273771,4.356708826689592
MA010120220813804311,역전할머니,역전할머니맥주,신내점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11260,중랑구,11260680,신내1동,1126010600,신내동,1126010600105650009,565.0,9.0,서울특별시 중랑구 신내동 565-9,112604118344,서울특별시 중랑구 봉화산로52길,서울특별시 중랑구 봉화산로52길 58,,127.096306961883,37.6054214155638,1952342372,20.0,85.0,중랑구 봉화산로52길 역전할머니,경쟁사,219,275,21.0,5.393627546352362,5.62040086571715,3.091042453358316
